built_year,apt_name,security_deposit,monthly_rent,contract_date,lease_term,net_leasable_area,address,legal_code,floor,ward
2008,광화문스페이스본(101동~105동),70000,0,20240705,24.07~25.07,70.8,서울특별시 종로구 사직동,1111011500,3,종로구
1983,세종,10000,150,20240704,24.08~26.08,91.68,서울특별시 종로구 당주동,1111011700,5,종로구
2006,효성쥬얼리시티,10000,270,20240713,24.08~26.08,98.39,서울특별시 종로구 인의동,1111015700,16,종로구
2021,이지마루종로,33000,0,20240712,24.08~26.08,24.44,서울특별시 종로구 효제동,1111016200,10,종로구
2021,이지마루종로,33000,0,20240712,24.08~26.08,24.44,서울특별시 종로구 효제동,1111016200,10,종로구
2022,힐스테이트창경궁,88000,0,20240702,24.09~26.09,84.96,서울특별시 종로구 충신동,1111016700,12,종로구
2022,힐스테이트창경궁,42000,120,20240708,24.10~26.10,63.09,서울특별시 종로구 충신동,1111016700,14,종로구
1995,아남1,79000,0,20240703,24.08~26.08,84.9,서울특별시 종로구 명륜2가,1111017100,5,종로구
1995,아남1,20000,190,20240705,24.08~26.08,84.8,서울특별시 종로구 명륜2가,1111017100,9,종로구
1995,아남1,72000,0,20240710,24.08~26.08,84.9,서울특별시 종로구 명륜2가,1111017100,8,종로구
1993,창신쌍용2,35000,0,20240701,24.07~26.07,54.7,서울특별시 종로구 창신동,1111017400,3,종로구
1992,창신쌍용1,3000,150,20240704,24.08~26.08,79.87,서울특별시 종로구 창신동,1111017400,8,종로구
1999,두산,57000,0,20240706,24.10~26.10,84.9,서울특별시 종로구 창신동,1111017400,11,종로구
1999,두산,41895,0,20240706,23.07~25.07,59.95,서울특별시 종로구 창신동,1111017400,17,종로구
1966,동대문,12000,0,20240706,24.08~26.08,28.8,서울특별시 종로구 창신동,1111017400,6,종로구
1966,동대문,5500,5,20240706,24.07~26.07,28.8,서울특별시 종로구 창신동,1111017400,1,종로구
1992,창신쌍용1,48000,0,20240706,24.07~26.07,79.87,서울특별시 종로구 창신동,1111017400,2,종로구
1993,창신쌍용2,45000,0,20240706,24.09~26.09,79.87,서울특별시 종로구 창신동,1111017400,7,종로구
1999,두산,2000,135,20240710,24.09~26.09,59.95,서울특별시 종로구 창신동,1111017400,19,종로구
1993,창신쌍용2,38000,0,20240711,24.07~26.07,64.66,서울특별시 종로구 창신동,1111017400,9,종로구
1992,창신쌍용1,5000,130,20240712,24.07~26.07,54.7,서울특별시 종로구 창신동,1111017400,9,종로구
1996,삼흥,18000,0,20240713,24.08~26.08,57.42,서울특별시 종로구 창신동,1111017400,4,종로구
2015,영하우스,4420,38,20240702,24.07~25.07,22.32,서울특별시 종로구 숭인동,1111017500,15,종로구
2015,영하우스,4560,42,20240703,24.07~26.07,16.59,서울특별시 종로구 숭인동,1111017500,17,종로구
2008,종로센트레빌,50000,0,20240704,24.07~26.07,59.92,서울특별시 종로구 숭인동,1111017500,4,종로구
2013,종로중흥S클래스,11500,10,20240705,24.08~26.08,17.811,서울특별시 종로구 숭인동,1111017500,6,종로구
2017,경희궁자이(3단지),93000,0,20240710,24.10~26.10,59.8547,서울특별시 종로구 평동,1111017700,15,종로구
2017,경희궁자이(2단지),10000,310,20240702,24.08~26.08,59.8655,서울특별시 종로구 홍파동,1111017900,3,종로구
2017,경희궁자이(2단지),110000,0,20240703,24.07~24.11,84.614,서울특별시 종로구 홍파동,1111017900,12,종로구
2017,경희궁자이(2단지),96000,80,20240704,24.07~26.07,84.8359,서울특별시 종로구 홍파동,1111017900,8,종로구
2017,경희궁자이(2단지),105000,0,20240704,24.08~26.08,84.8359,서울특별시 종로구 홍파동,1111017900,15,종로구
2017,경희궁자이(2단지),113000,0,20240706,24.09~26.09,84.8359,서울특별시 종로구 홍파동,1111017900,17,종로구
1995,동아,44000,35,20240704,24.08~26.08,84.28,서울특별시 종로구 교북동,1111018000,11,종로구
2017,경희궁자이(4단지),30000,29,20240704,24.08~26.08,37.2635,서울특별시 종로구 교북동,1111018000,8,종로구
2017,경희궁자이(1단지),7608,8,20240701,,39.0561,서울특별시 종로구 행촌동,1111018100,6,종로구
2000,현대,55000,0,20240713,24.08~26.08,60,서울특별시 종로구 무악동,1111018700,7,종로구
1970,진양상가,62000,0,20240704,24.07~26.08,107.9,서울특별시 중구 충무로4가,1114013200,15,중구
2020,이지마루충무로,20000,50,20240702,24.08~26.08,28.43,서울특별시 중구 충무로5가,1114013300,13,중구
2016,충무로엘크루메크로시티2차,1000,80,20240704,24.07~25.07,22.75,서울특별시 중구 충무로5가,1114013300,9,중구
2020,이지마루충무로,2000,110,20240705,24.07~26.07,28.43,서울특별시 중구 충무로5가,1114013300,8,중구
2023,세운푸르지오헤리시티,2000,155,20240701,24.08~26.08,29.4564,서울특별시 중구 인현동2가,1114013400,25,중구
2024,힐스테이트남산,49000,0,20240702,24.07~26.07,44.55,서울특별시 중구 묵정동,1114013600,1,중구
2024,힐스테이트남산,3000,230,20240704,24.07~26.07,46.65,서울특별시 중구 묵정동,1114013600,3,중구
2024,힐스테이트남산,50000,0,20240711,,46.46,서울특별시 중구 묵정동,1114013600,2,중구
2024,힐스테이트남산,50000,0,20240711,24.07~26.07,46.46,서울특별시 중구 묵정동,1114013600,2,중구
1981,장충,17000,0,20240705,24.08~26.08,62.48,서울특별시 중구 장충동2가,1114014400,7,중구
2018,이지마루오장,29000,0,20240701,24.07~26.07,23.94,서울특별시 중구 오장동,1114015400,15,중구
2002,남산타운,55000,0,20240702,24.09~26.09,59.94,서울특별시 중구 신당동,1114016200,14,중구
2002,남산타운,9690,167,20240703,24.07~26.03,84.88,서울특별시 중구 신당동,1114016200,7,중구
1999,약수하이츠,44000,0,20240703,24.09~26.09,57.63,서울특별시 중구 신당동,1114016200,3,중구
1999,약수하이츠,55000,0,20240703,,57.63,서울특별시 중구 신당동,1114016200,17,중구
2000,신당동파라다이스,45000,0,20240704,24.09~26.09,59.9,서울특별시 중구 신당동,1114016200,4,중구
2002,남산타운(임대),4283,0,20240705,,32.76,서울특별시 중구 신당동,1114016200,6,중구
2002,남산타운(임대),4283,0,20240705,,32.76,서울특별시 중구 신당동,1114016200,8,중구
1993,현대,60000,0,20240706,24.10~26.10,122.275,서울특별시 중구 신당동,1114016200,13,중구
2001,(432-904),13000,0,20240706,24.07~26.07,56.66,서울특별시 중구 신당동,1114016200,5,중구
2002,남산타운,52000,0,20240706,24.07~26.07,59.94,서울특별시 중구 신당동,1114016200,5,중구
2011,래미안하이베르,10000,260,20240708,24.08~26.08,84.85,서울특별시 중구 신당동,1114016200,1,중구
2011,래미안하이베르,10000,190,20240708,24.09~26.06,84.98,서울특별시 중구 신당동,1114016200,1,중구
2002,남산타운(임대),4283,0,20240708,,32.76,서울특별시 중구 신당동,1114016200,10,중구
2002,남산타운(임대),569,18,20240708,,32.76,서울특별시 중구 신당동,1114016200,7,중구
2002,남산타운,51000,0,20240709,24.07~26.07,59.94,서울특별시 중구 신당동,1114016200,9,중구
1993,현대,3000,132,20240709,24.08~26.08,83.97,서울특별시 중구 신당동,1114016200,13,중구
1999,삼성,55000,0,20240709,24.10~26.10,84.96,서울특별시 중구 신당동,1114016200,6,중구
2002,남산타운,53000,0,20240710,24.08~26.08,59.94,서울특별시 중구 신당동,1114016200,6,중구
2002,남산타운(임대),1328,17,20240710,,32.76,서울특별시 중구 신당동,1114016200,15,중구
2011,래미안하이베르,5000,250,20240710,24.09~26.09,84.98,서울특별시 중구 신당동,1114016200,10,중구
1993,현대,10000,140,20240710,24.08~26.08,66.6,서울특별시 중구 신당동,1114016200,7,중구
1993,현대,45000,15,20240710,24.08~26.08,79.11,서울특별시 중구 신당동,1114016200,14,중구
1999,약수하이츠,64500,0,20240711,24.12~26.12,65.37,서울특별시 중구 신당동,1114016200,14,중구
2011,래미안하이베르,63000,0,20240712,24.07~26.07,59.95,서울특별시 중구 신당동,1114016200,5,중구
2000,신당동파라다이스,61000,0,20240712,24.07~26.07,84.96,서울특별시 중구 신당동,1114016200,4,중구
2002,남산타운(임대),1581,20,20240712,,32.76,서울특별시 중구 신당동,1114016200,3,중구
2001,한진해모로,39000,25,20240712,24.07~25.07,59.76,서울특별시 중구 신당동,1114016200,4,중구
1999,약수하이츠,46000,0,20240713,24.08~26.08,65.37,서울특별시 중구 신당동,1114016200,2,중구
2002,남산타운(임대),3412,0,20240715,24.07~26.07,32.76,서울특별시 중구 신당동,1114016200,6,중구
2002,남산타운(임대),1328,17,20240716,24.07~26.07,32.76,서울특별시 중구 신당동,1114016200,11,중구
1999,약수하이츠,41500,0,20240716,24.07~26.07,57.63,서울특별시 중구 신당동,1114016200,5,중구
2002,남산타운(임대),4283,0,20240716,24.07~26.07,32.76,서울특별시 중구 신당동,1114016200,7,중구
2001,한진해모로,3153,0,20240717,24.07~26.07,27.27,서울특별시 중구 신당동,1114016200,1,중구
2002,남산타운,47320,100,20240717,24.07~25.07,114.88,서울특별시 중구 신당동,1114016200,9,중구
2018,위더스하임,25000,0,20240711,24.07~25.10,23.82,서울특별시 중구 흥인동,1114016300,8,중구
2008,롯데캐슬,5000,170,20240703,24.07~26.07,59.91,서울특별시 중구 황학동,1114016500,15,중구
2008,롯데캐슬,49350,0,20240704,24.07~26.07,59.91,서울특별시 중구 황학동,1114016500,17,중구
2008,롯데캐슬,49350,0,20240704,24.07~25.07,59.91,서울특별시 중구 황학동,1114016500,17,중구
2008,롯데캐슬,68000,0,20240704,24.08~26.08,84.9,서울특별시 중구 황학동,1114016500,18,중구
2008,롯데캐슬,32000,80,20240704,24.08~26.08,59.91,서울특별시 중구 황학동,1114016500,25,중구
2008,롯데캐슬,49350,0,20240704,24.07~25.07,59.91,서울특별시 중구 황학동,1114016500,17,중구
2003,중구리버빌,8000,130,20240705,24.08~26.08,90.96,서울특별시 중구 황학동,1114016500,5,중구
2008,롯데캐슬,10000,150,20240706,24.07~26.07,59.94,서울특별시 중구 황학동,1114016500,32,중구
2008,롯데캐슬,64000,0,20240709,24.07~26.07,84.89,서울특별시 중구 황학동,1114016500,19,중구
2008,롯데캐슬,65000,0,20240709,24.07~26.07,84.9,서울특별시 중구 황학동,1114016500,15,중구
2008,롯데캐슬,66000,0,20240711,24.08~26.08,84.89,서울특별시 중구 황학동,1114016500,29,중구
2008,롯데캐슬,65000,0,20240711,24.09~26.09,84.97,서울특별시 중구 황학동,1114016500,8,중구
2014,DUO302,12000,20,20240711,24.08~26.08,15.97,서울특별시 중구 황학동,1114016500,8,중구
2008,롯데캐슬,75500,0,20240712,24.08~26.08,114.9,서울특별시 중구 황학동,1114016500,28,중구
2008,롯데캐슬,4909,11,20240715,24.07~26.07,33.62,서울특별시 중구 황학동,1114016500,9,중구
2020,삼정아트테라스정동,38000,0,20240701,24.07~26.07,27.2434,서울특별시 중구 정동,1114016700,3,중구
2020,삼정아트테라스정동,20000,45,20240708,24.07~26.07,18.6574,서울특별시 중구 정동,1114016700,6,중구
2006,브라운스톤서울,85000,0,20240704,24.08~26.08,139.562,서울특별시 중구 중림동,1114017100,30,중구
2006,브라운스톤서울,5000,295,20240710,24.09~26.09,84.878,서울특별시 중구 중림동,1114017100,22,중구
1971,성요셉,10000,10,20240712,24.08~26.08,41.32,서울특별시 중구 중림동,1114017100,4,중구
2017,서울역센트럴자이,90000,0,20240701,24.07~26.07,84.972,서울특별시 중구 만리동2가,1114017400,17,중구
2017,서울역센트럴자이,51970,0,20240702,24.07~25.07,59.943,서울특별시 중구 만리동2가,1114017400,15,중구
2017,서울역센트럴자이,30000,220,20240703,24.07~26.07,84.9791,서울특별시 중구 만리동2가,1114017400,15,중구
2018,서울역한라비발디센트럴,80000,0,20240704,24.07~26.07,71.9832,서울특별시 중구 만리동2가,1114017400,9,중구
2017,서울역센트럴자이,87000,0,20240706,24.08~26.08,84.972,서울특별시 중구 만리동2가,1114017400,9,중구
2017,서울역센트럴자이,78000,0,20240706,24.08~26.08,72.9733,서울특별시 중구 만리동2가,1114017400,8,중구
2018,서울역한라비발디센트럴,71400,0,20240711,24.08~25.11,71.9832,서울특별시 중구 만리동2가,1114017400,3,중구
2017,서울역센트럴자이,85000,0,20240713,24.08~26.08,84.972,서울특별시 중구 만리동2가,1114017400,6,중구
2017,서울역센트럴자이,51000,0,20240716,24.07~26.07,59.9808,서울특별시 중구 만리동2가,1114017400,3,중구
2017,서울역센트럴자이,40000,160,20240717,24.10~26.10,72.9965,서울특별시 중구 만리동2가,1114017400,12,중구
2017,서울역센트럴자이,63206,0,20240717,24.08~25.08,59.943,서울특별시 중구 만리동2가,1114017400,14,중구
2013,센트레빌아스테리움서울,107000,0,20240702,24.07~25.07,149.05,서울특별시 용산구 동자동,1117010700,7,용산구
2013,센트레빌아스테리움서울,105000,0,20240706,24.09~26.09,128.06,서울특별시 용산구 동자동,1117010700,25,용산구
2013,센트레빌아스테리움서울,100000,25,20240715,24.08~26.08,131.05,서울특별시 용산구 동자동,1117010700,29,용산구
2022,용산원효루미니,17344,76,20240703,24.08~26.07,43.9656,서울특별시 용산구 원효로1가,1117011200,16,용산구
2022,용산원효루미니,17344,76,20240703,24.08~26.08,43.9656,서울특별시 용산구 원효로1가,1117011200,15,용산구
2022,용산원효루미니,17344,76,20240703,24.08~26.08,43.9656,서울특별시 용산구 원효로1가,1117011200,17,용산구
2022,용산원효루미니,9685,64,20240704,24.08~26.08,33.9588,서울특별시 용산구 원효로1가,1117011200,6,용산구
2014,용산더프라임,83000,0,20240706,24.08~26.08,84.976,서울특별시 용산구 원효로1가,1117011200,11,용산구
2022,용산원효루미니,9685,64,20240709,24.08~26.08,33.9588,서울특별시 용산구 원효로1가,1117011200,10,용산구
2022,용산원효루미니,12106,53,20240709,24.08~26.08,33.9588,서울특별시 용산구 원효로1가,1117011200,9,용산구
2022,용산원효루미니,17344,75,20240717,24.09~26.09,43.9656,서울특별시 용산구 원효로1가,1117011200,10,용산구
2001,리버힐삼성,55000,0,20240703,24.09~26.09,59.55,서울특별시 용산구 산천동,1117011500,7,용산구
2001,리버힐삼성,83000,0,20240705,24.07~26.07,114.48,서울특별시 용산구 산천동,1117011500,5,용산구
1999,강변삼성스위트,75000,0,20240701,24.08~26.08,84.94,서울특별시 용산구 원효로4가,1117011800,7,용산구
1999,강변삼성스위트,50000,0,20240701,24.07~26.07,59.92,서울특별시 용산구 원효로4가,1117011800,6,용산구
1999,강변삼성스위트,54000,0,20240705,,84.94,서울특별시 용산구 원효로4가,1117011800,5,용산구
2012,아인하우스,45000,0,20240702,24.07~26.07,66.78,서울특별시 용산구 효창동,1117011900,5,용산구
2022,용산데시앙포레,68250,0,20240702,24.07~26.07,59.7642,서울특별시 용산구 효창동,1117011900,8,용산구
2022,용산데시앙포레,80000,0,20240702,24.07~26.07,84.9003,서울특별시 용산구 효창동,1117011900,7,용산구
2018,용산케이씨씨스위첸,92000,0,20240704,24.09~26.09,84.91,서울특별시 용산구 효창동,1117011900,11,용산구
2018,용산케이씨씨스위첸,70000,80,20240705,24.07~26.07,84.91,서울특별시 용산구 효창동,1117011900,2,용산구
2006,세양청마루,70000,0,20240709,24.10~26.10,84.18,서울특별시 용산구 효창동,1117011900,10,용산구
2002,효창베네스,55000,0,20240712,24.09~26.09,84.94,서울특별시 용산구 효창동,1117011900,12,용산구
2001,도원동삼성래미안(임대),1351,18,20240708,,32.76,서울특별시 용산구 도원동,1117012000,4,용산구
2001,삼성래미안,10000,165,20240709,24.07~26.07,114.99,서울특별시 용산구 도원동,1117012000,13,용산구
2001,삼성래미안,58000,0,20240712,24.08~26.08,59.94,서울특별시 용산구 도원동,1117012000,10,용산구
1971,제일1,18900,5,20240712,24.08~26.08,45.26,서울특별시 용산구 도원동,1117012000,4,용산구
2001,삼성래미안,70000,0,20240713,24.08~26.08,84.92,서울특별시 용산구 도원동,1117012000,11,용산구
2011,브라운스톤,70000,0,20240714,24.09~26.09,59.94,서울특별시 용산구 용문동,1117012100,5,용산구
2011,브라운스톤,90000,0,20240716,24.07~26.07,114.93,서울특별시 용산구 용문동,1117012100,2,용산구
2007,CJ나인파크,79000,0,20240705,24.09~26.09,97.24,서울특별시 용산구 문배동,1117012200,28,용산구
2018,G&P용산파크,31256,0,20240707,24.09~26.09,27.04,서울특별시 용산구 문배동,1117012200,5,용산구
2004,지오베르크,51700,0,20240711,24.07~26.07,76.1,서울특별시 용산구 문배동,1117012200,6,용산구
2006,이안용산3차,5000,180,20240713,24.07~26.07,84.8,서울특별시 용산구 문배동,1117012200,7,용산구
2005,이안용산1차(102동),68000,0,20240714,24.07~26.07,79.63,서울특별시 용산구 문배동,1117012200,3,용산구
2005,이안용산1차(101동),60000,0,20240715,24.07~26.07,84.56,서울특별시 용산구 문배동,1117012200,10,용산구
2011,용산e편한세상,10000,600,20240710,24.08~26.08,158.26,서울특별시 용산구 신계동,1117012300,23,용산구
2011,용산e편한세상,74970,0,20240713,24.08~26.08,84.89,서울특별시 용산구 신계동,1117012300,10,용산구
2021,센트럴파크,3000,155,20240703,24.08~26.08,27.82,서울특별시 용산구 한강로1가,1117012400,3,용산구
2017,용산푸르지오써밋(420),220000,0,20240701,24.08~26.08,148.8269,서울특별시 용산구 한강로2가,1117012500,32,용산구
2021,용산베르디움프렌즈,2540,9,20240703,24.07~26.08,19.6951,서울특별시 용산구 한강로2가,1117012500,29,용산구
2007,용산아이피아대주피오레,39900,20,20240705,24.07~26.09,84.6,서울특별시 용산구 한강로2가,1117012500,9,용산구
2007,용산파크e-편한세상,80000,0,20240708,24.08~26.08,84.67,서울특별시 용산구 한강로2가,1117012500,2,용산구
2021,용산베르디움프렌즈,8316,13,20240710,24.09~26.09,19.6951,서울특별시 용산구 한강로2가,1117012500,7,용산구
2021,용산베르디움프렌즈,8446,66,20240715,24.10~26.10,49.6573,서울특별시 용산구 한강로2가,1117012500,35,용산구
2020,센트럴파크,160000,0,20240702,24.10~26.04,102.8617,서울특별시 용산구 한강로3가,1117012800,9,용산구
2020,센트럴파크,27424,67,20240704,,40.3497,서울특별시 용산구 한강로3가,1117012800,9,용산구
2003,쌍용스윗닷홈,15000,240,20240706,24.07~26.07,84.98,서울특별시 용산구 한강로3가,1117012800,10,용산구
2020,센트럴파크,140000,125,20240706,24.10~26.10,114.8905,서울특별시 용산구 한강로3가,1117012800,5,용산구
2006,한강자이에클라트,47200,0,20240711,24.09~26.09,79.73,서울특별시 용산구 한강로3가,1117012800,17,용산구
2020,센트럴파크,163000,0,20240713,24.09~26.09,102.8617,서울특별시 용산구 한강로3가,1117012800,22,용산구
2020,센트럴파크,135000,0,20240713,24.07~26.07,92.9164,서울특별시 용산구 한강로3가,1117012800,24,용산구
2020,센트럴파크,60000,420,20240715,24.07~26.07,102.8617,서울특별시 용산구 한강로3가,1117012800,23,용산구
1998,한가람,30000,160,20240701,24.09~26.09,59.88,서울특별시 용산구 이촌동,1117012900,7,용산구
1971,한강맨숀,50000,0,20240702,24.10~26.10,120.56,서울특별시 용산구 이촌동,1117012900,4,용산구
1979,삼익,50000,0,20240702,24.10~26.10,104.86,서울특별시 용산구 이촌동,1117012900,8,용산구
2000,한강(대우),60000,250,20240703,24.08~26.08,134.13,서울특별시 용산구 이촌동,1117012900,15,용산구
1970,시범(중산1차),11500,0,20240703,24.07~26.07,59.5,서울특별시 용산구 이촌동,1117012900,3,용산구
1995,우성,49000,0,20240703,24.10~26.09,58.2,서울특별시 용산구 이촌동,1117012900,6,용산구
2001,북한강(성원),50000,0,20240705,24.08~26.08,59.55,서울특별시 용산구 이촌동,1117012900,11,용산구
1994,대림,10000,190,20240705,24.08~26.08,84.78,서울특별시 용산구 이촌동,1117012900,2,용산구
2000,한강(대우),103000,0,20240705,24.07~26.04,84.98,서울특별시 용산구 이촌동,1117012900,7,용산구
1998,한가람,90000,100,20240705,24.08~26.08,114.96,서울특별시 용산구 이촌동,1117012900,8,용산구
1970,시범(중산1차),13000,0,20240705,24.08~26.08,39.67,서울특별시 용산구 이촌동,1117012900,6,용산구
1998,강촌,90000,0,20240706,24.08~27.08,84.77,서울특별시 용산구 이촌동,1117012900,7,용산구
1998,한가람,5000,250,20240710,24.09~26.08,59.88,서울특별시 용산구 이촌동,1117012900,12,용산구
2000,한강(대우),125000,0,20240710,24.07~26.07,134.13,서울특별시 용산구 이촌동,1117012900,4,용산구
1997,현대한강,41890,0,20240711,24.07~24.11,59.55,서울특별시 용산구 이촌동,1117012900,8,용산구
2000,한강(대우),70000,0,20240711,24.09~26.09,60,서울특별시 용산구 이촌동,1117012900,11,용산구
1999,이촌코오롱(A),100000,0,20240711,24.09~26.09,84.78,서울특별시 용산구 이촌동,1117012900,14,용산구
2020,G&D용산드림,25000,20,20240712,24.08~26.08,21.69,서울특별시 용산구 이촌동,1117012900,4,용산구
2001,동부센트레빌,100000,0,20240713,24.08~26.08,101.14,서울특별시 용산구 이촌동,1117012900,6,용산구
1975,왕궁,50000,0,20240713,24.08~26.08,102.48,서울특별시 용산구 이촌동,1117012900,2,용산구
1994,대림,42000,0,20240713,,59.22,서울특별시 용산구 이촌동,1117012900,14,용산구
1975,왕궁,50000,0,20240713,24.10~26.10,102.48,서울특별시 용산구 이촌동,1117012900,5,용산구
1995,우성,65000,0,20240716,24.08~26.08,58.2,서울특별시 용산구 이촌동,1117012900,17,용산구
1999,이촌코오롱(A),10000,160,20240717,24.09~26.09,59.82,서울특별시 용산구 이촌동,1117012900,13,용산구
1994,남산대림,58000,0,20240701,24.07~26.06,84.75,서울특별시 용산구 이태원동,1117013000,1,용산구
1982,청화1,81000,0,20240702,24.07~26.07,146.22,서울특별시 용산구 이태원동,1117013000,1,용산구
2002,이태원(이테크빌),39600,0,20240704,24.07~26.07,83.74,서울특별시 용산구 이태원동,1117013000,3,용산구
1982,청화1,97000,0,20240704,24.07~26.07,174.38,서울특별시 용산구 이태원동,1117013000,3,용산구
1993,주공1,65000,0,20240712,24.08~26.08,84.57,서울특별시 용산구 이태원동,1117013000,1,용산구
1993,주공1,40000,70,20240713,24.08~26.08,84.57,서울특별시 용산구 이태원동,1117013000,1,용산구
2017,한남아이파크애비뉴,3000,243,20240701,24.09~25.08,46.2439,서울특별시 용산구 한남동,1117013100,16,용산구
1970,성아1,3000,110,20240701,24.07~26.07,51.24,서울특별시 용산구 한남동,1117013100,10,용산구
1970,한남하우스,10000,60,20240701,24.08~26.08,60.63,서울특별시 용산구 한남동,1117013100,5,용산구
2011,한남더힐,500000,0,20240708,24.07~26.07,235.312,서울특별시 용산구 한남동,1117013100,2,용산구
1970,한남하우스,5000,70,20240711,24.09~26.09,60.63,서울특별시 용산구 한남동,1117013100,3,용산구
1984,신동아,1000,100,20240701,24.07~24.10,166.98,서울특별시 용산구 서빙고동,1117013300,5,용산구
2002,금호베스트빌1,3000,330,20240701,24.07~25.01,84.94,서울특별시 용산구 서빙고동,1117013300,13,용산구
2002,금호베스트빌1,77000,0,20240706,24.07~26.07,156.58,서울특별시 용산구 서빙고동,1117013300,4,용산구
1984,신동아,55000,40,20240714,24.10~26.10,95.66,서울특별시 용산구 서빙고동,1117013300,4,용산구
2000,리버빌(삼성),18000,150,20240713,24.10~26.10,59.7,서울특별시 용산구 보광동,1117013600,10,용산구
2014,텐즈힐(2단지),100000,0,20240711,24.07~26.07,127.44,서울특별시 성동구 상왕십리동,1120010100,25,성동구
2016,센트라스,20000,186,20240701,24.08~26.08,59.59,서울특별시 성동구 하왕십리동,1120010200,23,성동구
1996,무학현대,45000,0,20240701,24.07~26.07,84.675,서울특별시 성동구 하왕십리동,1120010200,1,성동구
1996,무학현대,45000,0,20240701,24.07~26.07,84.675,서울특별시 성동구 하왕십리동,1120010200,1,성동구
2015,텐즈힐(1단지),90000,0,20240702,24.07~25.07,84.88,서울특별시 성동구 하왕십리동,1120010200,10,성동구
2016,센트라스,67045,0,20240702,24.07~25.01,59.94,서울특별시 성동구 하왕십리동,1120010200,16,성동구
2017,왕십리자이,50000,140,20240704,24.07~25.02,84.99,서울특별시 성동구 하왕십리동,1120010200,16,성동구
2016,센트라스,76000,0,20240704,24.08~26.08,59.59,서울특별시 성동구 하왕십리동,1120010200,15,성동구
2015,텐즈힐(1단지),95000,0,20240705,24.09~26.09,84.96,서울특별시 성동구 하왕십리동,1120010200,22,성동구
2001,극동미라주,52000,0,20240705,24.09~26.09,59.4,서울특별시 성동구 하왕십리동,1120010200,15,성동구
2015,텐즈힐(1단지),30000,143,20240706,24.07~25.03,84.96,서울특별시 성동구 하왕십리동,1120010200,6,성동구
2017,왕십리자이,90000,0,20240706,24.08~25.08,84.99,서울특별시 성동구 하왕십리동,1120010200,6,성동구
2015,텐즈힐(1단지),115000,0,20240706,24.08~26.08,129.34,서울특별시 성동구 하왕십리동,1120010200,6,성동구
2016,센트라스,49800,0,20240708,24.07~26.07,59.94,서울특별시 성동구 하왕십리동,1120010200,13,성동구
2016,센트라스,92000,0,20240708,24.08~26.08,84.99,서울특별시 성동구 하왕십리동,1120010200,8,성동구
2015,텐즈힐(1단지),88000,0,20240709,24.10~26.10,84.96,서울특별시 성동구 하왕십리동,1120010200,18,성동구
2016,센트라스,10000,340,20240709,24.07~26.07,84.96,서울특별시 성동구 하왕십리동,1120010200,11,성동구
2001,극동미라주,38850,0,20240709,24.08~26.08,59.4,서울특별시 성동구 하왕십리동,1120010200,2,성동구
2001,극동미라주,38850,25,20240709,24.08~26.08,59.4,서울특별시 성동구 하왕십리동,1120010200,2,성동구
1996,벽산,67000,0,20240711,24.07~26.07,114.46,서울특별시 성동구 하왕십리동,1120010200,2,성동구
2015,텐즈힐(1단지),62500,100,20240711,24.07~26.07,84.96,서울특별시 성동구 하왕십리동,1120010200,17,성동구
2015,텐즈힐(1단지),5500,258,20240712,24.08~25.08,84.96,서울특별시 성동구 하왕십리동,1120010200,10,성동구
2017,왕십리자이,70000,0,20240712,24.08~26.08,59.99,서울특별시 성동구 하왕십리동,1120010200,16,성동구
2004,왕십리풍림아이원,58000,0,20240713,24.09~26.09,59.936,서울특별시 성동구 하왕십리동,1120010200,13,성동구
2001,금호베스트빌,58000,0,20240713,24.08~26.08,84.97,서울특별시 성동구 하왕십리동,1120010200,4,성동구
2017,왕십리자이,70000,0,20240713,24.09~26.07,59.99,서울특별시 성동구 하왕십리동,1120010200,16,성동구
2020,왕십리지음재,19000,0,20240715,24.08~26.08,16.76,서울특별시 성동구 하왕십리동,1120010200,7,성동구
2016,왕십리KCC스위첸,30000,133,20240715,24.07~26.07,84.897,서울특별시 성동구 하왕십리동,1120010200,11,성동구
1975,홍익한신,24000,0,20240717,24.09~26.09,71.21,서울특별시 성동구 홍익동,1120010300,3,성동구
1986,세림,37485,0,20240702,24.07~26.07,84.93,서울특별시 성동구 마장동,1120010500,14,성동구
1996,삼성,20000,140,20240706,24.09~25.01,84.93,서울특별시 성동구 마장동,1120010500,18,성동구
1996,삼성,30000,85,20240706,24.07~26.07,134.97,서울특별시 성동구 마장동,1120010500,4,성동구
2006,왕십리금호어울림,40000,170,20240706,24.08~26.08,114.97,서울특별시 성동구 마장동,1120010500,4,성동구
1998,현대,50000,0,20240706,24.07~26.07,59.91,서울특별시 성동구 마장동,1120010500,23,성동구
1986,세림,36750,8,20240706,24.07~26.07,84.93,서울특별시 성동구 마장동,1120010500,14,성동구
1986,세림,30000,0,20240708,24.08~26.07,40.86,서울특별시 성동구 마장동,1120010500,13,성동구
1986,세림,31600,0,20240708,24.07~26.07,72.84,서울특별시 성동구 마장동,1120010500,3,성동구
2006,왕십리금호어울림,50000,85,20240710,24.09~26.09,84.97,서울특별시 성동구 마장동,1120010500,11,성동구
1986,세림,12300,45,20240712,24.07~26.07,40.86,서울특별시 성동구 마장동,1120010500,15,성동구
1998,현대,58500,0,20240712,24.07~26.07,84.91,서울특별시 성동구 마장동,1120010500,21,성동구
